#Second case with k = 0.4 and B = 20.0
#u              v              
-3.099861       1.188104       
-3.087980       1.305410       
-3.074926       1.417522       
-3.060751       1.524196       
-3.045509       1.625211       
-3.029257       1.720370       
-3.012053       1.809504       
-2.993958       1.892469       
-2.975034       1.969145       
-2.955342       2.039439       
-2.934948       2.103281       
-2.913915       2.160625       
-2.892309       2.211450       
-2.870194       2.255754       
-2.847637       2.293559       
-2.824701       2.324905       
-2.801452       2.349853       
-2.777953       2.368479       
-2.754269       2.380876       
-2.730460       2.387155       
-2.706588       2.387436       
-2.682714       2.381855       
-2.658895       2.370558       
-2.635190       2.353700       
-2.611653       2.331446       
-2.588338       2.303968       
-2.565299       2.271445       
-2.542584       2.234062       
-2.520244       2.192006       
-2.498324       2.145471       
-2.476869       2.094650       
-2.455922       2.039742       
-2.435525       1.980943       
-2.415716       1.918453       
-2.396531       1.852471       
-2.378006       1.783195       
-2.360174       1.710822       
-2.343066       1.635549       
-2.326711       1.557571       
-2.311135       1.477080       
-2.296364       1.394267       
-2.282421       1.309321       
-2.269328       1.222427       
-2.257104       1.133770       
-2.245766       1.043531       
-2.235331       0.951888       
-2.225812       0.859018       
-2.217222       0.765094       
-2.209571       0.670289       
-2.202868       0.574771       
-2.197120       0.478707       
-2.192333       0.382263       
-2.188511       0.285601       
-2.185655       0.188882       
-2.183766       0.092267       
-2.182843       -0.004087      
-2.182884       -0.100022      
-2.183884       -0.195384      
-2.185838       -0.290018      
-2.188738       -0.383771      
-2.192576       -0.476489      
-2.197341       -0.568021      
-2.203021       -0.658215      
-2.209603       -0.746921      
-2.217072       -0.833987      
-2.225412       -0.919265      
-2.234605       -1.002603      
-2.244631       -1.083853      
-2.255470       -1.162866      
-2.267098       -1.239494      
-2.279493       -1.313587      
-2.292629       -1.384999      
-2.306479       -1.453584      
-2.321015       -1.519195      
-2.336207       -1.581687      
-2.352024       -1.640919      
-2.368433       -1.696747      
-2.385400       -1.749033      
-2.402891       -1.797640      
-2.420867       -1.842433      
-2.439291       -1.883282      
-2.458124       -1.920059      
-2.477325       -1.952640      
-2.496851       -1.980909      
-2.516660       -2.004752      
-2.536708       -2.024062      
-2.556948       -2.038740      
-2.577336       -2.048693      
-2.597823       -2.053836      
-2.618361       -2.054095      
-2.638902       -2.049402      
-2.659396       -2.039702      
-2.679793       -2.024950      
-2.700043       -2.005113      
-2.720094       -1.980172      
-2.739895       -1.950117      
-2.759397       -1.914956      
-2.778546       -1.874710      
-2.797293       -1.829413      
-2.815587       -1.779116      
-2.833379       -1.723887      
-2.850617       -1.663807      
-2.867255       -1.598976      
-2.883245       -1.529509      
-2.898540       -1.455538      
-2.913096       -1.377212      
-2.926868       -1.294693      
-2.939815       -1.208162      
-2.951896       -1.117816      
-2.963075       -1.023863      
-2.973313       -0.926530      
-2.982578       -0.826052      
-2.990839       -0.722680      
-2.998066       -0.616677      
-3.004233       -0.508312      
-3.009316       -0.397868      
-3.013294       -0.285632      
-3.016151       -0.171898      
-3.017870       -0.056966      
-3.018439       0.058862       
-3.017851       0.175281       
-3.016098       0.291988       
-3.013178       0.408679       
-3.009091       0.525055       
-3.003841       0.640819       
-2.997432       0.755684       
-2.989876       0.869366       
-2.981182       0.981592       
-2.971366       1.092100       
-2.960445       1.200637       
-2.948439       1.306964       
-2.935369       1.410856       
-2.921260       1.512099       
-2.906140       1.610498       
-2.890035       1.705871       
-2.872976       1.798052       
-2.854995       1.886893       
-2.836126       1.972263       
-2.816404       2.054045       
-2.795863       2.132142       
-2.774542       2.206471       
-2.752477       2.276968       
-2.729707       2.343583       
-2.706272       2.406284       
-2.682209       2.465052       
-2.657558       2.519884       
